id,name,description,category,price,rating,stock
1,Bluetooth Speaker Mini,High-quality electronic device with modern features and durability.,Electronics,4459,4.3,385
2,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,1219,3.7,104
3,Herbal Face Wash,Premium beauty product designed for care and daily use.,Beauty,2619,3.6,373
4,Code Mastery,A captivating book that explores unique stories and inspires readers.,Books,2917,5.0,202
5,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,3843,4.0,117
6,Herbal Face Wash,Premium beauty product designed for care and daily use.,Beauty,3777,4.8,351
7,Vacuum Cleaner Pro,Essential home product built for convenience and durability.,Home & Kitchen,4999,4.0,379
8,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,452,3.6,215
9,The Silent Forest,A captivating book that explores unique stories and inspires readers.,Books,4403,4.5,160
10,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,2608,3.7,482
11,Wireless Mouse Pro,High-quality electronic device with modern features and durability.,Electronics,4460,4.4,37
12,Winter Wool Jacket,Comfortable and stylish apparel designed for everyday use.,Clothing,161,4.4,181
13,Electric Kettle,Essential home product built for convenience and durability.,Home & Kitchen,3690,4.5,498
14,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,941,5.0,463
15,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3595,4.5,26
16,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,2888,3.6,396
17,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,333,4.1,21
18,Vacuum Cleaner Pro,Essential home product built for convenience and durability.,Home & Kitchen,1410,3.9,249
19,Cotton Summer Shirt,Comfortable and stylish apparel designed for everyday use.,Clothing,3171,4.8,232
20,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,971,4.6,109
21,Wireless Mouse Pro,High-quality electronic device with modern features and durability.,Electronics,1499,3.8,371
22,Non-stick Frying Pan,Essential home product built for convenience and durability.,Home & Kitchen,241,3.6,415
23,Legends of Dawn,A captivating book that explores unique stories and inspires readers.,Books,3538,4.5,305
24,Perfume Classic,Premium beauty product designed for care and daily use.,Beauty,1489,4.3,263
25,Tennis Ball Pack,Durable and reliable sports gear perfect for active lifestyles.,Sports,1930,4.4,118
26,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,2212,4.7,54
27,Ceramic Dinner Set,Essential home product built for convenience and durability.,Home & Kitchen,2490,4.5,76
28,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,260,3.7,255
29,Cotton Summer Shirt,Comfortable and stylish apparel designed for everyday use.,Clothing,1939,4.8,155
30,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,3392,4.7,366
31,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,2461,3.9,349
32,Ceramic Dinner Set,Essential home product built for convenience and durability.,Home & Kitchen,2187,4.0,439
33,Lipstick Matte Red,Premium beauty product designed for care and daily use.,Beauty,4576,3.7,342
34,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,4661,3.8,245
35,Non-stick Frying Pan,Essential home product built for convenience and durability.,Home & Kitchen,3394,4.5,67
36,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3159,4.6,165
37,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,1039,4.7,83
38,Mindful Living,A captivating book that explores unique stories and inspires readers.,Books,2896,4.2,403
39,Doll House Deluxe,Fun and engaging toy that sparks creativity and joy in kids.,Toys,1508,4.5,158
40,Winter Wool Jacket,Comfortable and stylish apparel designed for everyday use.,Clothing,206,3.9,404
41,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,1307,3.9,63
42,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,1478,3.9,284
43,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,1135,4.4,148
44,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,1820,4.8,147
45,Ceramic Dinner Set,Essential home product built for convenience and durability.,Home & Kitchen,1304,4.5,99
46,Building Blocks Set,Fun and engaging toy that sparks creativity and joy in kids.,Toys,4270,4.7,412
47,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,3084,4.7,175
48,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,940,3.6,480
49,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,4275,4.9,440
50,Wireless Mouse Pro,High-quality electronic device with modern features and durability.,Electronics,4378,3.7,391
51,Bluetooth Speaker Mini,High-quality electronic device with modern features and durability.,Electronics,4619,3.5,78
52,Winds of Change,A captivating book that explores unique stories and inspires readers.,Books,2207,4.3,130
53,Mindful Living,A captivating book that explores unique stories and inspires readers.,Books,2315,4.7,378
54,The Silent Forest,A captivating book that explores unique stories and inspires readers.,Books,1860,4.8,471
55,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,1133,3.6,427
56,Winter Wool Jacket,Comfortable and stylish apparel designed for everyday use.,Clothing,4627,3.9,247
57,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,350,3.9,376
58,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,667,4.7,494
59,Hair Oil Natural,Premium beauty product designed for care and daily use.,Beauty,4699,4.2,456
60,Electric Kettle,Essential home product built for convenience and durability.,Home & Kitchen,4361,4.4,254
61,Hair Oil Natural,Premium beauty product designed for care and daily use.,Beauty,1657,4.6,125
62,Electric Kettle,Essential home product built for convenience and durability.,Home & Kitchen,4903,4.1,380
63,Ceramic Dinner Set,Essential home product built for convenience and durability.,Home & Kitchen,1338,3.6,405
64,Bluetooth Speaker Mini,High-quality electronic device with modern features and durability.,Electronics,1725,3.5,460
65,Perfume Classic,Premium beauty product designed for care and daily use.,Beauty,463,3.6,22
66,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,2474,4.3,326
67,Lipstick Matte Red,Premium beauty product designed for care and daily use.,Beauty,4073,4.1,88
68,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,4108,4.9,136
69,Puzzle Brain Teaser,Fun and engaging toy that sparks creativity and joy in kids.,Toys,4324,4.6,372
70,Building Blocks Set,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3376,5.0,439
71,Mindful Living,A captivating book that explores unique stories and inspires readers.,Books,4573,4.0,100
72,Perfume Classic,Premium beauty product designed for care and daily use.,Beauty,4787,3.6,329
73,Non-stick Frying Pan,Essential home product built for convenience and durability.,Home & Kitchen,2211,4.5,99
74,Cotton Summer Shirt,Comfortable and stylish apparel designed for everyday use.,Clothing,1342,4.9,391
75,Formal Blazer,Comfortable and stylish apparel designed for everyday use.,Clothing,2078,4.9,430
76,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,4239,3.7,209
77,Winds of Change,A captivating book that explores unique stories and inspires readers.,Books,3718,3.8,123
78,Winds of Change,A captivating book that explores unique stories and inspires readers.,Books,4837,3.6,336
79,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,3099,4.5,51
80,Action Figure Hero,Fun and engaging toy that sparks creativity and joy in kids.,Toys,2928,3.5,226
81,The Silent Forest,A captivating book that explores unique stories and inspires readers.,Books,3283,4.7,349
82,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,4793,4.6,206
83,Formal Blazer,Comfortable and stylish apparel designed for everyday use.,Clothing,487,4.9,230
84,Winds of Change,A captivating book that explores unique stories and inspires readers.,Books,2660,4.8,249
85,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3978,4.5,244
86,Puzzle Brain Teaser,Fun and engaging toy that sparks creativity and joy in kids.,Toys,4972,4.9,334
87,Bluetooth Speaker Mini,High-quality electronic device with modern features and durability.,Electronics,2347,4.0,272
88,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,2609,4.1,58
89,Legends of Dawn,A captivating book that explores unique stories and inspires readers.,Books,3937,3.7,335
90,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,4004,3.7,495
91,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,1097,4.9,198
92,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,2861,3.6,263
93,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,758,3.7,356
94,Vacuum Cleaner Pro,Essential home product built for convenience and durability.,Home & Kitchen,2876,3.5,61
95,Badminton Racket,Durable and reliable sports gear perfect for active lifestyles.,Sports,3733,4.9,83
96,Cotton Summer Shirt,Comfortable and stylish apparel designed for everyday use.,Clothing,2539,3.8,457
97,Hair Oil Natural,Premium beauty product designed for care and daily use.,Beauty,3721,4.5,326
98,Winds of Change,A captivating book that explores unique stories and inspires readers.,Books,3322,4.2,325
99,Vacuum Cleaner Pro,Essential home product built for convenience and durability.,Home & Kitchen,4071,3.5,111
100,Vacuum Cleaner Pro,Essential home product built for convenience and durability.,Home & Kitchen,2938,3.6,241
101,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,1959,4.3,343
102,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,3834,4.5,472
103,Formal Blazer,Comfortable and stylish apparel designed for everyday use.,Clothing,1950,4.5,468
104,Tennis Ball Pack,Durable and reliable sports gear perfect for active lifestyles.,Sports,4142,3.9,333
105,Cotton Summer Shirt,Comfortable and stylish apparel designed for everyday use.,Clothing,3757,4.0,390
106,Building Blocks Set,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3274,4.0,497
107,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,386,4.3,166
108,Smartwatch Series 5,High-quality electronic device with modern features and durability.,Electronics,1073,4.6,188
109,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,2893,3.6,139
110,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,1723,4.8,355
111,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,4325,5.0,352
112,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3387,3.5,271
113,The Silent Forest,A captivating book that explores unique stories and inspires readers.,Books,4617,3.9,63
114,Herbal Face Wash,Premium beauty product designed for care and daily use.,Beauty,3787,4.5,345
115,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,1256,4.5,410
116,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,1668,4.6,17
117,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,2530,4.2,137
118,The Silent Forest,A captivating book that explores unique stories and inspires readers.,Books,972,4.0,395
119,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,2451,3.5,466
120,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,3046,4.9,255
121,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,2291,4.1,169
122,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,3313,5.0,285
123,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,999,4.6,288
124,Ceramic Dinner Set,Essential home product built for convenience and durability.,Home & Kitchen,2456,3.5,230
125,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,752,3.9,197
126,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,2174,3.6,329
127,Vacuum Cleaner Pro,Essential home product built for convenience and durability.,Home & Kitchen,3966,3.6,234
128,Lipstick Matte Red,Premium beauty product designed for care and daily use.,Beauty,1417,4.5,478
129,Legends of Dawn,A captivating book that explores unique stories and inspires readers.,Books,3234,4.1,326
130,Building Blocks Set,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3986,4.1,171
131,Winter Wool Jacket,Comfortable and stylish apparel designed for everyday use.,Clothing,437,4.8,482
132,Herbal Face Wash,Premium beauty product designed for care and daily use.,Beauty,751,4.6,231
133,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,3607,4.9,239
134,The Silent Forest,A captivating book that explores unique stories and inspires readers.,Books,1390,3.6,190
135,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,1928,4.4,330
136,Lipstick Matte Red,Premium beauty product designed for care and daily use.,Beauty,3363,3.5,488
137,Mindful Living,A captivating book that explores unique stories and inspires readers.,Books,562,3.9,92
138,Non-stick Frying Pan,Essential home product built for convenience and durability.,Home & Kitchen,3177,4.5,388
139,Formal Blazer,Comfortable and stylish apparel designed for everyday use.,Clothing,169,3.9,275
140,The Silent Forest,A captivating book that explores unique stories and inspires readers.,Books,921,3.8,454
141,Badminton Racket,Durable and reliable sports gear perfect for active lifestyles.,Sports,1847,4.6,465
142,Bluetooth Speaker Mini,High-quality electronic device with modern features and durability.,Electronics,2069,4.2,250
143,4K Ultra HD TV,High-quality electronic device with modern features and durability.,Electronics,2949,4.6,385
144,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,679,4.2,366
145,Winter Wool Jacket,Comfortable and stylish apparel designed for everyday use.,Clothing,2606,4.6,275
146,Cotton Summer Shirt,Comfortable and stylish apparel designed for everyday use.,Clothing,910,4.2,414
147,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,4278,3.9,292
148,Winds of Change,A captivating book that explores unique stories and inspires readers.,Books,3139,3.7,12
149,Formal Blazer,Comfortable and stylish apparel designed for everyday use.,Clothing,4155,3.9,118
150,Wireless Mouse Pro,High-quality electronic device with modern features and durability.,Electronics,898,3.6,316
151,Action Figure Hero,Fun and engaging toy that sparks creativity and joy in kids.,Toys,1233,4.1,324
152,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,4123,4.1,329
153,Winds of Change,A captivating book that explores unique stories and inspires readers.,Books,1209,4.4,113
154,4K Ultra HD TV,High-quality electronic device with modern features and durability.,Electronics,3086,4.8,468
155,Smartwatch Series 5,High-quality electronic device with modern features and durability.,Electronics,1180,3.6,435
156,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,403,4.2,65
157,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,1704,4.5,147
158,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,2899,3.7,97
159,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,1893,3.9,181
160,4K Ultra HD TV,High-quality electronic device with modern features and durability.,Electronics,4210,3.7,203
161,Electric Kettle,Essential home product built for convenience and durability.,Home & Kitchen,1987,4.6,87
162,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,4698,3.6,86
163,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,2623,4.0,369
164,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3553,3.6,321
165,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,3394,4.6,108
166,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,893,3.9,369
167,Winter Wool Jacket,Comfortable and stylish apparel designed for everyday use.,Clothing,1359,3.6,431
168,Mindful Living,A captivating book that explores unique stories and inspires readers.,Books,2111,3.7,422
169,Lipstick Matte Red,Premium beauty product designed for care and daily use.,Beauty,3764,4.5,184
170,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,2852,3.8,441
171,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,4398,3.5,373
172,Legends of Dawn,A captivating book that explores unique stories and inspires readers.,Books,1035,4.7,199
173,Code Mastery,A captivating book that explores unique stories and inspires readers.,Books,1530,4.4,115
174,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,2148,4.4,104
175,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,3748,4.4,27
176,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,675,4.7,65
177,Mindful Living,A captivating book that explores unique stories and inspires readers.,Books,1394,4.0,78
178,Code Mastery,A captivating book that explores unique stories and inspires readers.,Books,175,4.5,463
179,Bluetooth Speaker Mini,High-quality electronic device with modern features and durability.,Electronics,3208,3.6,138
180,Lipstick Matte Red,Premium beauty product designed for care and daily use.,Beauty,4594,4.1,69
181,Herbal Face Wash,Premium beauty product designed for care and daily use.,Beauty,1451,3.8,398
182,Wireless Mouse Pro,High-quality electronic device with modern features and durability.,Electronics,4796,4.8,59
183,Smartwatch Series 5,High-quality electronic device with modern features and durability.,Electronics,4626,4.9,287
184,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,4670,4.2,145
185,Legends of Dawn,A captivating book that explores unique stories and inspires readers.,Books,2440,4.3,65
186,Bluetooth Speaker Mini,High-quality electronic device with modern features and durability.,Electronics,1807,4.3,212
187,Hair Oil Natural,Premium beauty product designed for care and daily use.,Beauty,4164,4.3,301
188,Winds of Change,A captivating book that explores unique stories and inspires readers.,Books,447,4.5,122
189,Doll House Deluxe,Fun and engaging toy that sparks creativity and joy in kids.,Toys,1594,4.9,11
190,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,4825,3.9,314
191,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,3542,4.0,474
192,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,363,4.0,449
193,Smartwatch Series 5,High-quality electronic device with modern features and durability.,Electronics,731,4.5,373
194,Ceramic Dinner Set,Essential home product built for convenience and durability.,Home & Kitchen,216,4.1,35
195,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,1532,4.0,243
196,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,2586,4.5,287
197,Doll House Deluxe,Fun and engaging toy that sparks creativity and joy in kids.,Toys,2986,4.8,460
198,Action Figure Hero,Fun and engaging toy that sparks creativity and joy in kids.,Toys,4456,3.6,474
199,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,1730,4.6,440
200,Code Mastery,A captivating book that explores unique stories and inspires readers.,Books,2168,4.9,414
201,Action Figure Hero,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3431,3.9,91
202,Vacuum Cleaner Pro,Essential home product built for convenience and durability.,Home & Kitchen,1736,4.6,53
203,Puzzle Brain Teaser,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3047,3.6,359
204,Cotton Summer Shirt,Comfortable and stylish apparel designed for everyday use.,Clothing,1184,4.1,277
205,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,1846,4.8,225
206,Tennis Ball Pack,Durable and reliable sports gear perfect for active lifestyles.,Sports,868,3.9,241
207,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,1191,3.6,167
208,Winter Wool Jacket,Comfortable and stylish apparel designed for everyday use.,Clothing,2891,4.1,456
209,Ceramic Dinner Set,Essential home product built for convenience and durability.,Home & Kitchen,4366,3.9,496
210,Badminton Racket,Durable and reliable sports gear perfect for active lifestyles.,Sports,4342,3.6,328
211,Bluetooth Speaker Mini,High-quality electronic device with modern features and durability.,Electronics,4126,4.6,302
212,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,3180,4.7,128
213,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,3935,4.7,317
214,Winds of Change,A captivating book that explores unique stories and inspires readers.,Books,737,3.9,378
215,Herbal Face Wash,Premium beauty product designed for care and daily use.,Beauty,2192,4.8,160
216,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,4166,4.0,195
217,Badminton Racket,Durable and reliable sports gear perfect for active lifestyles.,Sports,495,3.6,190
218,Perfume Classic,Premium beauty product designed for care and daily use.,Beauty,3977,4.3,115
219,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,1153,4.0,383
220,Wireless Mouse Pro,High-quality electronic device with modern features and durability.,Electronics,757,4.9,375
221,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,1145,3.9,399
222,Action Figure Hero,Fun and engaging toy that sparks creativity and joy in kids.,Toys,4379,4.6,274
223,Formal Blazer,Comfortable and stylish apparel designed for everyday use.,Clothing,1359,4.9,46
224,Code Mastery,A captivating book that explores unique stories and inspires readers.,Books,2038,5.0,233
225,Badminton Racket,Durable and reliable sports gear perfect for active lifestyles.,Sports,708,4.5,356
226,Tennis Ball Pack,Durable and reliable sports gear perfect for active lifestyles.,Sports,4989,3.7,264
227,Lipstick Matte Red,Premium beauty product designed for care and daily use.,Beauty,4791,4.5,355
228,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,3949,4.6,398
229,Hair Oil Natural,Premium beauty product designed for care and daily use.,Beauty,3774,3.8,206
230,Formal Blazer,Comfortable and stylish apparel designed for everyday use.,Clothing,2111,4.7,198
231,Hair Oil Natural,Premium beauty product designed for care and daily use.,Beauty,1079,4.1,45
232,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,3578,3.6,214
233,Building Blocks Set,Fun and engaging toy that sparks creativity and joy in kids.,Toys,2249,3.6,87
234,Winter Wool Jacket,Comfortable and stylish apparel designed for everyday use.,Clothing,2663,3.6,247
235,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,1099,4.1,95
236,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,2064,3.9,467
237,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,2322,4.5,129
238,Code Mastery,A captivating book that explores unique stories and inspires readers.,Books,164,3.7,411
239,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,2154,4.0,401
240,Action Figure Hero,Fun and engaging toy that sparks creativity and joy in kids.,Toys,4886,3.9,347
241,Legends of Dawn,A captivating book that explores unique stories and inspires readers.,Books,1058,4.4,78
242,Doll House Deluxe,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3392,4.3,382
243,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,3676,4.6,28
244,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,966,4.8,184
245,Action Figure Hero,Fun and engaging toy that sparks creativity and joy in kids.,Toys,1262,4.9,348
246,Code Mastery,A captivating book that explores unique stories and inspires readers.,Books,4094,4.5,246
247,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,3796,4.2,86
248,Action Figure Hero,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3009,3.7,352
249,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,4827,4.9,262
250,Building Blocks Set,Fun and engaging toy that sparks creativity and joy in kids.,Toys,2588,4.1,168
